State Name,Latitude,Longitude
ladakh,34.2268,77.5619
karnataka,15.3173,75.7139
madhya pradesh,22.9734,78.6569
bihar,25.9644,85.2722
gujarat,22.6708,71.5724
sikkim,27.3516,88.3239
arunachal pradesh,28.218,94.7278
uttarakhand,30.0668,79.0193
odisha,20.2376,84.27
manipur,24.6637,93.9063
telangana,18.1124,79.0193
andaman and nicobar islands,10.7449,92.5
delhi,28.7041,77.1025
dadra and nagar haveli and daman and diu,20.3229,72.9667
tripura,23.5639,91.6761
haryana,29.0588,76.0856
puducherry,11.9416,79.8083
andhra pradesh,15.9129,79.74
chhattisgarh,21.2787,81.8661
rajasthan,27.0238,74.2179
meghalaya,25.467,91.3662
assam,26.2006,92.9376
himachal pradesh,32.1024,77.5619
punjab,31.1471,75.3412
jammu and kashmir,33.2778,75.3412
maharashtra,19.7515,75.7139
kerala,10.1632,76.6413
mizoram,23.1645,92.9376
tamil nadu,11.1271,78.6569
jharkhand,23.6913,85.2722
nagaland,26.1584,94.5624
lakshadweep,10,73
west bengal,22.9868,87.855
uttar pradesh,27.5706,80.0982
goa,15.2993,74.124
chandigarh,30.7333,76.7794
